0.0	    28541.98272
0.001	28879.99153
0.002	29255.969512
0.003	29671.256331
0.004	30127.127668
0.005	30624.787222
0.006	31165.357379
0.007	31749.880545
0.008	32379.30315
0.009	33054.482313
0.01	33776.171179
0.011	34545.022918
0.012	35361.578728
0.013	36226.270501
0.014	37139.412825
0.015	38101.206983
0.016	39111.731622
0.017	40170.944086
0.018	41278.683082
0.019	42434.659349
0.02	43638.467655
0.021	44889.576133
0.022	46187.332946
0.023	47530.971619
0.024	48919.604374
0.025	50352.232794
0.026	51827.747823
0.027	53344.931099
0.028	54902.466951
0.029	56498.9384
0.03	58132.837823
0.031	59802.570952
0.032	61506.45954
0.033	63242.753358
0.034	65009.632861
0.035	66805.213187
0.036	68627.556154
0.037	70474.676925
0.038	72344.544008
0.039	74235.093919
0.04	76144.236514
0.041	78069.856322
0.042	80009.829874
0.043	81962.02437
0.044	83924.304344
0.045	85894.546327
0.046	87870.638847
0.047	89850.487761
0.048	91832.029585
0.049	93813.230161
0.05	95792.096654
0.051	97766.678885
0.052	99735.077329
0.053	101695.447114
0.054	103646.000687
0.055	105584.862517
0.056	107508.821407
0.057	109414.080973
0.058	111297.026119
0.059	113154.236367
0.06	114982.495188
0.061	116778.792668
0.062	118540.341504
0.063	120264.569006
0.064	121949.127761
0.065	123591.899632
0.066	125190.993092
0.067	126744.741891
0.068	128251.713054
0.069	129710.692218
0.07	131120.694296
0.071	132480.947481
0.072	133790.897245
0.073	135050.195675
0.074	136258.694808
0.075	137416.442632
0.076	138523.672422
0.077	139580.792076
0.078	140588.378783
0.079	141547.16436
0.08	142458.031253
0.081	143321.992542
0.082	144140.189275
0.083	144913.877138
0.084	145644.409126
0.085	146333.231544
0.086	146981.870677
0.087	147591.916794
0.088	148165.017483
0.089	148702.866987
0.09	149207.190208
0.091	149679.740041
0.092	150122.277379
0.093	150536.572446
0.094	150924.384802
0.095	151287.464676
0.096	151627.53697
0.097	151946.298593
0.098	152245.405131
0.099	152526.474846
0.1	    152791.074013
0.101	153040.711588
0.102	153276.841874
0.103	153500.852524
0.104	153714.06854
0.105	153917.742942
0.106	154113.056768
0.107	154301.119074
0.108	154482.962935
0.109	154659.550777
0.11	154831.763713
0.111	155000.41354
0.112	155166.233408
0.113	155329.888484
0.114	155491.967954
0.115	155652.995687
0.116	155813.42357
0.117	155973.643505
0.118	156133.98341
0.119	156294.709885
0.12	156456.03621
0.121	156618.122345
0.122	156781.077596
0.123	156944.96728
0.124	157109.811392
0.125	157275.595269
0.126	157442.265591
0.127	157609.737046
0.128	157777.900328
0.129	157946.616805
0.13	158115.729183
0.131	158285.064172
0.132	158454.42982
0.133	158623.628843
0.134	158792.449294
0.135	158960.681892
0.136	159128.106692
0.137	159294.511747
0.138	159459.683777
0.139	159623.414834
0.14	159785.506301
0.141	159945.768892
0.142	160104.022652
0.143	160260.102289
0.144	160413.855841
0.145	160565.148675
0.146	160713.862154
0.147	160859.893637
0.148	161003.160478
0.149	161143.600026
0.15	161281.165626
0.151	161415.833284
0.152	161547.596335
0.153	161676.469442
0.154	161802.483264
0.155	161925.688455
0.156	162046.152998
0.157	162163.962205
0.158	162279.217384
0.159	162392.034506
0.16	162502.541539
0.161	162610.882447
0.162	162717.206526
0.163	162821.679068
0.164	162924.468031
0.165	163025.749371
0.166	163125.704376
0.167	163224.515667
0.168	163322.367198
0.169	163419.442923
0.17	163515.922797
0.171	163611.985442
0.172	163707.800149
0.173	163803.53221
0.174	163899.333587
0.175	163995.35091
0.176	164091.714813
0.177	164188.543933
0.178	164285.94491
0.179	164384.004389
0.18	164482.798351
0.181	164582.381449
0.182	164682.793673
0.183	164784.053685
0.184	164886.164151
0.185	164989.110408
0.186	165092.857798
0.187	165197.351668
0.188	165302.522702
0.189	165408.282922
0.19	165514.528354
0.191	165621.136362
0.192	165727.972313
0.193	165834.885578
0.194	165941.716197
0.195	166048.286881
0.196	166154.415009
0.197	166259.907296
0.198	166364.562459
0.199	166468.176549
0.2	    166570.538952
0.201	166671.435055
0.202	166770.654244
0.203	166867.981906
0.204	166963.20876
0.205	167056.128191
0.206	167146.538916
0.207	167234.24765
0.208	167319.067773
0.209	167400.824662
0.21	167479.351692
0.211	167554.496901
0.212	167626.120324
0.213	167694.096659
0.214	167758.312601
0.215	167818.67484
0.216	167875.10073
0.217	167927.530286
0.218	167975.912854
0.219	168020.221774
0.22	168060.442383
0.221	168096.577347
0.222	168128.647994
0.223	168156.688982
0.224	168180.752298
0.225	168200.904592
0.226	168217.224511
0.227	168229.806698
0.228	168238.755127
0.229	168244.188435
0.23	168246.231924
0.231	168245.020227
0.232	168240.697308
0.233	168233.409797
0.234	168223.309656
0.235	168210.554179
0.236	168195.297994
0.237	168177.697062
0.238	168157.906011
0.239	168136.072804
0.24	168112.341405
0.241	168086.849113
0.242	168059.723896
0.243	168031.081725
0.244	168001.026574
0.245	167969.647754
0.246	167937.021246
0.247	167903.201703
0.248	167868.229115
0.249	167832.119478
0.25	167794.871459
0.251	167756.457065
0.252	167716.826975
0.253	167675.905208
0.254	167633.593122
0.255	167589.762749
0.256	167544.259461
0.257	167496.903303
0.258	167447.482328
0.259	167395.761928
0.26	167341.476836
0.261	167284.332459
0.262	167224.011543
0.263	167160.164842
0.264	167092.420449
0.265	167020.379797
0.266	166943.620325
0.267	166861.699477
0.268	166774.146704
0.269	166680.478127
0.27	166580.187206
0.271	166472.752738
0.272	166357.638857
0.273	166234.293701
0.274	166102.160076
0.275	165960.670124
0.276	165809.247989
0.277	165647.317815
0.278	165474.298414
